,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
237,KNIP11,Títulos e Val Mob,94.31,12.55,9.38,0.99,7552170000,8725680,0,0.0,0.0,0.0,0.0
238,KNRE11,Residencial,0.43,-24.17,0.0,0.55,7975280,2690,0,0.0,0.0,0.0,0.0
239,KNRI11,Híbrido,158.49,5.68,7.2,1.0,4470780000,4599600,19,5083.57,371.22,7.3,0.18
240,KNSC11,Títulos e Val Mob,9.17,9.34,9.84,1.03,1217390000,4188970,0,0.0,0.0,0.0,0.0
241,KNUQ11,Títulos e Val Mob,103.91,5.76,8.75,1.03,923646000,2020260,0,0.0,0.0,0.0,0.0
242,KOPA11,Títulos e Val Mob,1005.0,3.86,6.26,1.01,356450000,182599,0,0.0,0.0,0.0,0.0
243,KORE11,Títulos e Val Mob,103.87,4.36,7.55,1.03,999749000,1656700,4,15858.5,427.61,2.7,1.65
244,LASC11,Shoppings,110.49,3.46,6.44,0.88,324874000,386793,2,15472.3,1368.65,8.85,2.03
245,LATR11B,Residencial,9.51,-16.36,0.0,0.9,1180230,0,0,0.0,0.0,0.0,0.0
246,LFTT11,Residencial,22.0,-18.68,0.0,0.67,71830000,10239,128,5834.2,0.8,0.01,0.0
247,LGCP11,Logística,86.32,12.12,9.22,0.83,304687000,290470,7,2979.22,326.59,10.96,0.0
248,LIFE11,Outros,10.21,13.06,13.71,1.01,237570000,402045,0,0.0,0.0,0.0,0.0
249,LLAO11,Híbrido,77.37,-4.8,3.99,1.07,27941400,0,15,5697.75,0.0,0.0,0.0
250,LOFT11B,Residencial,29.9,-1.73,0.0,3.02,58678800,0,10,26424.0,41.84,0.16,0.0
251,LPLP11,Residencial,500.0,9.96,34.01,1.33,188608000,0,0,0.0,0.0,0.0,0.0
252,LSAG11,Títulos e Val Mob,80.9,26.71,17.26,0.83,81655100,126047,0,0.0,0.0,0.0,0.0
253,LSPA11,Outros,70.5,36.41,41.89,0.9,28517200,14049,0,0.0,0.0,0.0,0.0
254,LUGG11,Residencial,74.75,13.66,8.43,0.6,84520300,46339,5,3223.47,586.42,18.19,4.38
255,LVBI11,Logística,108.67,7.04,9.27,0.93,1751600000,4676280,9,2442.88,250.9,10.27,3.93
256,MALL11,Shoppings,109.35,16.59,8.96,0.91,1418590000,3114670,10,4185.37,473.96,11.32,3.64
257,MANA11,Títulos e Val Mob,9.47,7.03,12.33,0.99,202557000,689064,0,0.0,0.0,0.0,0.0
258,MATV11,Títulos e Val Mob,86.63,11.42,0.0,0.92,36901600,0,0,0.0,0.0,0.0,0.0
259,MAXR11,Híbrido,80.99,11.81,11.21,0.62,91166800,163777,8,1418.87,172.56,12.16,23.23
260,MBRF11,Outros,679.0,8.64,0.0,0.87,69029900,0,2,3613.71,339.92,9.41,82.78
261,MCCI11,Títulos e Val Mob,91.94,10.35,10.6,0.96,1559300000,3844440,0,0.0,0.0,0.0,0.0
262,MCHF11,Títulos e Val Mob,9.05,11.76,7.1,0.87,292806000,0,3,0.0,0.0,0.0,0.0
263,MCHY11,Títulos e Val Mob,9.55,4.08,14.3,0.98,1065770000,4503470,0,0.0,0.0,0.0,0.0
264,MFAI11,Híbrido,62.5,9.82,8.98,0.87,24324100,18565,0,0.0,0.0,0.0,0.0
265,MFCR11,Híbrido,25.5,35.16,13.46,0.92,2581360,1369,0,0.0,0.0,0.0,0.0
266,MFII11,Híbrido,100.53,8.21,12.65,0.92,524002000,585423,6,227.3,0.0,0.0,0.0
267,MGCR11,Títulos e Val Mob,9.4,11.11,2.22,0.96,126115000,0,0,0.0,0.0,0.0,0.0
268,MGFF11,Títulos e Val Mob,69.99,0.0,4.39,0.0,0,0,0,0.0,0.0,0.0,0.0
269,MGHT11,Híbrido,30.98,23.05,19.26,0.36,40701000,151145,1,3933.21,956.52,24.32,0.0
270,MGIM11,Híbrido,101.5,-2.38,0.0,1.03,25101000,0,0,0.0,0.0,0.0,0.0
271,MGLG11,Híbrido,40.99,3.04,0.0,0.79,103703000,0,1,3769.67,59.37,1.57,0.0
272,MINT11,Outros,95.0,10.81,4.72,0.68,49400000,132193,4,3510.51,432.24,12.31,0.0
273,MMPD11,Outros,110.61,9.89,12.23,0.99,58623300,0,0,0.0,0.0,0.0,0.0
274,MORC11,Títulos e Val Mob,89.87,12.37,8.14,0.92,171455000,0,0,0.0,0.0,0.0,0.0
275,MORE11,Títulos e Val Mob,76.21,6.04,4.06,0.88,176740000,0,0,0.0,0.0,0.0,0.0
276,MXRF11,Híbrido,10.14,8.97,11.69,1.04,3393410000,11074200,3,101318.0,0.0,0.0,0.0
277,NAVT11,Títulos e Val Mob,92.0,11.65,14.19,1.01,56329900,176378,0,0.0,0.0,0.0,0.0
278,NCHB11,Títulos e Val Mob,9.26,13.42,13.03,0.93,141506000,244230,0,0.0,0.0,0.0,0.0
279,NCRA11,Títulos e Val Mob,8.5,19.75,15.35,0.81,37909600,115252,0,0.0,0.0,0.0,0.0
280,NCRI11,Títulos e Val Mob,8.45,12.72,12.7,0.83,33377500,2097,0,0.0,0.0,0.0,0.0
281,NEWL11,Híbrido,119.98,21.82,9.36,0.72,243931000,560335,3,2689.73,484.45,18.01,0.0
282,NEWU11,Híbrido,73.99,1.9,2.89,1.03,54900600,11678,3,3915.94,432.43,11.04,47.02
283,NEXG11,Outros,109.5,0.64,4.93,1.14,20431100,67912,0,0.0,0.0,0.0,0.0
284,NPAR11,Outros,12.82,213.32,0.0,0.7,1533140,0,0,0.0,0.0,0.0,0.0
285,NSLU11,Hospital,180.39,10.84,9.84,0.88,233296000,86758,1,9518.26,1094.69,11.5,0.0
286,NVHO11,Hospital,11.05,14.29,8.66,0.72,458515000,2253,4,14852.2,2192.84,14.76,0.0
287,OCRE11,Títulos e Val Mob,100.0,7.52,12.2,1.0,38879100,18159,0,0.0,0.0,0.0,0.0
288,OGHY11,Títulos e Val Mob,8.72,7.32,7.21,0.92,23678100,0,0,0.0,0.0,0.0,0.0
289,OIAG11,Híbrido,7.82,16.34,16.69,0.8,70638100,205156,0,0.0,0.0,0.0,0.0
290,ONEF11,Lajes Corporativas,200.03,6.08,19.25,1.09,182227000,0,0,0.0,0.0,0.0,0.0
291,ORPD11,Títulos e Val Mob,93.0,0.0,0.0,0.64,26970000,0,0,0.0,0.0,0.0,0.0
292,OUCY11,Híbrido,88.5,11.6,0.0,0.96,95322200,0,8,3447.53,162.15,4.7,0.0
293,OUFF11,Títulos e Val Mob,61.41,13.87,12.38,0.85,111418000,270155,0,0.0,0.0,0.0,0.0
294,OUJP11,Híbrido,80.66,14.91,13.42,0.82,262337000,919028,0,0.0,0.0,0.0,0.0
295,OULG11,Logística,28.95,16.83,8.94,0.45,71833200,70294,2,963.01,210.44,21.85,0.0
296,OURE11,Híbrido,79.0,12.99,12.19,0.85,85089900,253066,8,3077.46,162.15,5.27,0.0
297,PATC11,Lajes Corporativas,35.09,6.98,13.89,0.85,122023000,225356,4,15675.7,1361.51,8.69,0.0
298,PATL11,Logística,60.93,12.12,11.05,0.62,304134000,542795,4,1959.41,291.15,14.86,0.0
299,PDDA11B,Logística,106.5,4.58,0.0,1.67,264257000,0,2,3542.69,210.44,5.94,0.0
300,PEMA11,Títulos e Val Mob,34.5,26.13,16.07,0.49,19044000,325,0,0.0,0.0,0.0,0.0
301,PLCA11,Títulos e Val Mob,76.76,22.12,14.58,0.81,42756800,116884,0,0.0,0.0,0.0,0.0
302,PLCR11,Títulos e Val Mob,86.37,20.47,11.02,0.94,182169000,278065,0,0.0,0.0,0.0,0.0
303,PLOG11,Logística,66.71,16.83,0.0,0.61,50032500,0,1,691.04,143.55,20.77,0.0
304,PLRI11,Títulos e Val Mob,11.51,-6.39,11.21,0.43,10984000,1131,0,0.0,0.0,0.0,0.0
305,PMFO11,Híbrido,100.0,0.37,8.39,1.06,79729500,0,0,0.0,0.0,0.0,0.0
306,PMIS11,Títulos e Val Mob,9.33,3.66,5.2,0.99,116625000,336470,0,0.0,0.0,0.0,0.0
307,PNCR11,Residencial,82.95,-0.15,13.92,1.09,41475000,0,1,32587.9,0.0,0.0,0.0
308,PNDL11,Títulos e Val Mob,1099.0,0.38,0.32,1.04,146007000,0,0,0.0,0.0,0.0,0.0
309,PNPR11,Híbrido,75.99,12.51,2.81,1.0,67580300,46560,2,1782.87,293.89,16.48,0.0
310,PNRC11,Híbrido,106.36,4.52,14.38,1.06,43618200,212,3,11048.0,0.0,0.0,0.0
311,PORD11,Títulos e Val Mob,8.95,12.28,12.16,0.93,333690000,500982,0,0.0,0.0,0.0,0.0
312,PQAG11,Logística,59.79,9.16,8.63,1.05,836575000,6728,1,13256.9,1163.59,8.78,0.0
313,PQDP11,Shoppings,1902.99,9.86,4.87,0.55,479179000,133745,1,1808.22,239.02,13.22,1.85
314,PRSN11,Residencial,1.1,-30.12,13.68,0.3,3554370,469,2,8878.64,0.0,0.0,0.0
315,PRSV11,Lajes Corporativas,62.64,-28.43,0.0,0.36,12214800,2982,1,1219.62,0.0,0.0,100.0
316,PURB11,Híbrido,95.1,8.4,0.0,0.82,107954000,0,2,19091.9,3199.8,16.76,9.7
317,PVBI11,Lajes Corporativas,93.21,4.81,8.35,0.91,2412530000,6636870,6,16603.7,1022.47,6.16,10.32
318,QAGR11,Outros,46.9,11.24,11.47,0.8,236376000,235047,12,1630.71,210.72,12.92,0.0
319,QAMI11,Títulos e Val Mob,84.68,24.53,2.89,0.91,67862400,0,0,0.0,0.0,0.0,0.0
320,QIFF11,Títulos e Val Mob,97.49,7.63,0.0,1.09,14623500,0,0,0.0,0.0,0.0,0.0
321,QIRI11,Títulos e Val Mob,78.04,9.53,0.0,0.87,11706000,0,0,0.0,0.0,0.0,0.0
322,QMFF11,Títulos e Val Mob,98.52,7.55,0.0,1.1,14778000,0,0,0.0,0.0,0.0,0.0
323,RBBV11,Títulos e Val Mob,100.0,6.51,0.0,0.99,125416000,0,0,0.0,0.0,0.0,0.0
324,RBCO11,Lajes Corporativas,44.0,12.33,8.39,0.49,166276000,144616,4,3812.31,614.84,16.13,0.0
325,RBDS11,Residencial,2.52,-58.71,0.0,0.12,318838,691,0,0.0,0.0,0.0,0.0
326,RBED11,Outros,137.51,11.17,11.35,0.94,323839000,207838,7,3390.47,390.35,11.51,0.0
327,RBFF11,Títulos e Val Mob,61.28,7.39,9.39,0.91,229752000,437629,0,0.0,0.0,0.0,0.0
328,RBGS11,Shoppings,28.45,3.3,0.0,0.31,30669100,0,1,1051.57,52.68,5.01,11.94
329,RBHG11,Títulos e Val Mob,86.91,8.11,11.68,0.97,188417000,346111,0,0.0,0.0,0.0,0.0
330,RBHY11,Títulos e Val Mob,91.21,11.8,13.04,0.98,172707000,154315,0,0.0,0.0,0.0,0.0
331,RBIR11,Residencial,83.5,2.94,3.66,0.86,127639000,143829,0,0.0,0.0,0.0,0.0
332,RBIV11,Títulos e Val Mob,83.7,8.43,0.0,0.94,181458000,0,0,0.0,0.0,0.0,0.0
333,RBLG11,Logística,100.0,11.23,11.62,0.96,64019900,363,1,347.55,35.68,10.27,0.0
334,RBOP11,Outros,352.0,16.66,14.41,0.45,35785700,25908,2,1873.38,339.92,18.14,82.78
335,RBRD11,Híbrido,37.9,9.85,10.47,0.56,70182700,32747,4,2540.77,358.58,14.11,27.96
336,RBRF11,Títulos e Val Mob,7.7,9.01,9.19,0.87,1053420000,3165000,0,0.0,0.0,0.0,0.0
337,RBRI11,Híbrido,1000.0,-1.43,0.0,0.85,139664000,231,0,0.0,0.0,0.0,0.0
338,RBRL11,Logística,77.36,9.93,10.78,0.76,517309000,564927,5,2304.08,274.43,11.91,0.0
339,RBRM11,Títulos e Val Mob,160000.0,-8.41,0.0,6.41,86240000,0,0,0.0,0.0,0.0,0.0
340,RBRP11,Outros,57.53,5.2,8.14,0.72,700669000,1335060,11,7865.35,507.95,6.46,0.0
341,RBRR11,Títulos e Val Mob,91.5,7.74,10.24,0.97,1377730000,3242380,0,0.0,0.0,0.0,0.0
342,RBRS11,Híbrido,44.05,7.96,5.37,0.48,76395900,24254,3,7221.98,707.6,9.8,80.76
343,RBRX11,Títulos e Val Mob,9.18,5.5,12.6,0.95,270522000,1214330,0,0.0,0.0,0.0,0.0
344,RBRY11,Títulos e Val Mob,96.02,7.34,13.34,0.98,1226130000,5106560,0,0.0,0.0,0.0,0.0
345,RBTS11,Outros,750.0,-2.02,17.96,0.98,42393800,6809,0,0.0,0.0,0.0,0.0
346,RBVA11,Outros,104.39,8.9,11.72,0.96,1303340000,1387500,50,16730.3,1975.52,11.81,0.43
347,RBVO11,Lajes Corporativas,21.25,1.45,26.58,2.36,10961300,286845,0,0.0,0.0,0.0,0.0
348,RCFF11,Títulos e Val Mob,99.0,1.49,1.35,0.96,31996800,115,0,0.0,0.0,0.0,0.0
349,RCRB11,Lajes Corporativas,139.98,3.1,7.71,0.68,516623000,653686,9,12644.8,1097.8,8.68,3.61
350,RCRI11B,Híbrido,1200.0,4.39,0.0,1.16,61214400,0,0,0.0,0.0,0.0,0.0
351,RDES11,Híbrido,58.0,2.42,0.0,0.81,43036000,0,3,3069.66,432.43,14.09,47.02
352,RDPD11,Títulos e Val Mob,22.96,2.07,0.0,2.1,172391000,0,0,0.0,0.0,0.0,0.0
353,RECR11,Títulos e Val Mob,85.05,12.13,11.85,0.9,2248860000,3121060,1,41933.7,0.0,0.0,100.02
354,RECT11,Híbrido,34.7,13.95,13.68,0.38,296459000,372932,9,3874.36,782.05,20.19,9.92
355,RECX11,Títulos e Val Mob,65.85,11.73,9.96,0.87,14375900,10641,0,0.0,0.0,0.0,0.0
356,REIT11,Títulos e Val Mob,155.01,5.33,10.31,0.54,4075370,4,0,0.0,0.0,0.0,0.0
357,RELG11,Híbrido,56.13,14.58,0.67,0.44,74909000,497807,5,1052.94,179.81,17.08,10.03
358,RFOF11,Títulos e Val Mob,73.18,9.46,11.36,0.93,78900000,143003,0,0.0,0.0,0.0,0.0
359,RINV11,Títulos e Val Mob,111.85,3.43,11.86,1.03,147712000,542204,0,0.0,0.0,0.0,0.0
360,RMAI11,Híbrido,71.78,0.36,5.8,0.71,175416000,16455,2,4222.95,190.28,4.51,19.11
361,RNDP11,Títulos e Val Mob,66.74,13.72,82.2,0.85,7173280,11679,0,0.0,0.0,0.0,0.0
362,RNGO11,Lajes Corporativas,46.46,10.24,9.31,0.56,124327000,83754,4,2163.41,292.1,13.5,14.63
363,ROOF11,Outros,727.2,-6.83,0.0,1.36,56354400,0,60,3008.12,18.25,0.61,0.0
364,RPRI11,Títulos e Val Mob,94.01,8.52,11.77,0.94,326377000,349539,0,0.0,0.0,0.0,0.0
365,RRCI11,Títulos e Val Mob,77.01,12.37,14.19,0.84,37100100,37195,0,0.0,0.0,0.0,0.0
366,RSPD11,Residencial,1096.89,-1.98,8.0,1.06,163449000,127,0,0.0,0.0,0.0,0.0
367,RURA11,Títulos e Val Mob,9.36,12.25,13.25,0.94,1498530000,3574770,0,0.0,0.0,0.0,0.0
368,RVBI11,Títulos e Val Mob,73.32,2.3,12.34,0.87,753437000,2188910,0,0.0,0.0,0.0,0.0
369,RZAG11,Títulos e Val Mob,8.3,23.74,15.35,0.87,564736000,1763020,0,0.0,0.0,0.0,0.0
370,RZAK11,Títulos e Val Mob,83.92,15.22,15.13,0.94,739158000,3145220,0,0.0,0.0,0.0,0.0
371,RZAT11,Híbrido,97.6,12.02,11.44,0.97,361917000,1185290,12,1373.15,124.53,9.07,3.74
372,RZDM11,Híbrido,550.16,19.74,0.0,4.15,88025600,0,4,61028.8,0.0,0.0,0.0
373,RZTR11,Híbrido,93.25,10.6,12.04,0.93,1757920000,4683550,17,2.15,0.31,14.5,24.4
374,SADI11,Títulos e Val Mob,89.78,14.94,12.07,0.94,139041000,241946,0,0.0,0.0,0.0,0.0
375,SAIC11B,Lajes Corporativas,34.0,-3.63,0.0,0.62,48611200,3,1,4359.46,19.64,0.45,100.0
376,SAPI11,Títulos e Val Mob,91.74,4.97,7.13,0.93,141618000,327667,0,0.0,0.0,0.0,0.0
377,SARE11,Híbrido,43.1,13.24,10.72,0.49,398000000,1079550,3,1961.35,269.91,13.76,0.0
378,SCPF11,Shoppings,2.82,8.09,6.27,0.24,11844000,5351,1,2486.17,689.82,27.75,34.91
379,SDIL11,Logística,96.5,7.33,0.0,0.96,746822000,0,6,1492.04,244.61,16.39,0.62
380,SDIP11,Lajes Corporativas,88.0,1.63,0.0,0.9,371533000,0,4,15600.3,1407.34,9.02,0.0
381,SEED11,Híbrido,97.61,11.03,10.35,1.05,160080000,0,0,0.0,0.0,0.0,0.0
382,SEQR11,Outros,52.0,15.12,15.35,0.56,86616100,85520,4,2054.96,354.61,17.26,0.0
383,SHDP11B,Shoppings,1210.05,7.66,7.39,0.84,1804560000,0,1,13714.0,1191.33,8.69,1.85
384,SHOP11,Híbrido,67.99,-6.57,0.0,1.55,100711000,173,1,3963.71,235.36,5.94,17.0
385,SHPH11,Shoppings,890.0,6.15,6.88,0.96,541966000,98238,1,15429.2,1198.65,7.77,4.35
386,SIGR11,Títulos e Val Mob,99.9,14.11,9.91,0.99,38902000,0,0,0.0,0.0,0.0,0.0
387,SJAU11,Logística,69.99,0.21,13.92,0.94,555178000,1087,0,0.0,0.0,0.0,0.0
388,SMRE11,Outros,100.0,0.0,2.14,1.02,44787000,651034,0,0.0,0.0,0.0,0.0
389,SNAG11,Híbrido,10.01,10.02,12.14,1.0,500500000,1986510,3,139.68,8.92,6.39,0.0
390,SNCI11,Títulos e Val Mob,95.59,11.57,11.43,0.97,401478000,498073,0,0.0,0.0,0.0,0.0
391,SNCR11,,97.8,7.83,0.0,0.98,373964000,0,0,0.0,0.0,0.0,0.0
392,SNEL11,Híbrido,9.31,18.28,7.42,0.09,11729500,563347,0,0.0,0.0,0.0,0.0
393,SNFF11,Títulos e Val Mob,87.3,8.07,10.38,0.95,247059000,527970,0,0.0,0.0,0.0,0.0
394,SNLG11,Híbrido,31.71,3.93,1.99,0.61,80225200,119463,1,2916.23,59.37,2.04,0.0
395,SNME11,Híbrido,9.7,5.07,6.65,1.0,71957000,83931,0,0.0,0.0,0.0,0.0
396,SOLR11,Híbrido,1051.35,2.72,0.0,1.13,67778400,0,1,7673.36,357.84,4.66,0.0
397,SPMO11,Híbrido,144.0,-0.12,0.0,0.96,260714000,0,0,0.0,0.0,0.0,0.0
398,SPTW11,Lajes Corporativas,40.7,17.32,12.59,0.71,73178600,79671,1,5129.78,1050.67,20.48,0.0
399,SPXS11,Híbrido,9.36,8.57,13.15,0.97,188969000,1458620,0,0.0,0.0,0.0,0.0
400,SRVD11,Títulos e Val Mob,3.0,-0.19,0.0,-294.12,288858000,0,0,0.0,0.0,0.0,0.0
401,STRX11,Híbrido,168.0,8.31,3.53,1.14,271078000,0,2,7193.21,629.78,8.76,8.69
402,TBOF11,Lajes Corporativas,101.5,-0.11,0.0,486.34,1020080000,0,1,0.0,0.0,0.0,15.37
403,TEPP11,Lajes Corporativas,91.25,1.57,9.96,0.93,385254000,1184010,4,16176.4,1407.34,8.7,0.0
404,TGAR11,Híbrido,119.39,10.71,12.78,1.02,2287590000,8080110,5,75.18,1.36,1.81,0.0
405,THRA11,Lajes Corporativas,138.5,2.96,0.0,14.52,203973000,0,0,0.0,0.0,0.0,0.0
406,TJKB11,Lajes Corporativas,283.0,10.49,11.03,1.05,214224000,6475,7,8430.68,925.13,10.97,0.0
407,TMPS11,Títulos e Val Mob,95.62,7.71,11.07,0.93,93608900,113927,0,0.0,0.0,0.0,0.0
408,TORD11,Híbrido,1.45,-0.4,0.0,0.11,50824500,92414,1,342.56,0.0,0.0,0.0
409,TOUR11,Residencial,8.8,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0
410,TRBL11,Logística,97.41,7.26,9.22,0.96,753865000,978605,6,1506.11,244.61,16.24,0.62
411,TRNT11,Lajes Corporativas,109.98,5.38,3.07,0.55,432833000,12007,1,6838.27,604.02,8.83,38.57
412,TRXB11,Híbrido,148.49,6.77,8.62,1.32,476026000,1173400,15,1795.65,187.81,10.46,0.0
413,TRXF11,Híbrido,105.65,-3.02,10.48,1.0,2116760000,9152550,29,3173.82,364.64,11.49,0.0
414,TRXL11,Híbrido,103.38,4.23,0.0,1.03,4471100000,0,21,3368.94,213.45,6.34,2.43
415,TSER11,Lajes Corporativas,100.0,11.4,10.71,1.0,128488000,21,1,2732.76,240.41,8.8,0.0
416,TSNC11,Híbrido,0.01,-66005.76,147224.0,0.0,10868,0,1,5.33,990.63,18591.09,0.0
417,TVRI11,Lajes Corporativas,101.19,10.39,8.07,1.01,1610910000,1185830,62,4058.47,498.9,12.29,3.14
418,UBSR11,Títulos e Val Mob,102.5,10.07,0.0,1.09,2710270000,0,1,50537.3,0.0,0.0,100.02
419,URPR11,Outros,80.59,15.29,13.93,0.79,945635000,1640390,0,0.0,0.0,0.0,0.0
420,VCJR11,Títulos e Val Mob,90.69,13.72,10.75,0.95,1335320000,2302320,0,0.0,0.0,0.0,0.0
421,VCRA11,Títulos e Val Mob,71.5,19.91,16.88,0.68,328465000,858672,0,0.0,0.0,0.0,0.0
422,VCRI11,Títulos e Val Mob,8.72,11.26,11.67,0.91,154983000,238945,0,0.0,0.0,0.0,0.0
423,VCRR11,Logística,62.76,12.73,12.48,0.48,125520000,308693,4,2192.14,105.64,4.82,0.0
424,VERE11,Outros,445.76,6.95,5.41,0.91,279854000,114,4,1675.48,186.64,11.14,16.52
425,VGHF11,Híbrido,8.75,4.36,12.79,0.96,1441310000,4290880,0,0.0,0.0,0.0,0.0
426,VGIA11,Títulos e Val Mob,8.08,16.85,15.26,0.84,698557000,2596070,0,0.0,0.0,0.0,0.0
427,VGII11,Títulos e Val Mob,101.41,1.75,7.22,1.04,52618100,0,0,0.0,0.0,0.0,0.0
428,VGIP11,Títulos e Val Mob,90.82,11.0,10.24,0.99,1070520000,2006460,0,0.0,0.0,0.0,0.0
429,VGIR11,Títulos e Val Mob,9.99,13.59,12.77,1.03,1031170000,3959850,0,0.0,0.0,0.0,0.0
430,VGRI11,,9.3,-0.06,4.69,0.96,311442000,548252,5,5648.7,0.0,0.0,6.51
431,VIFI11,Títulos e Val Mob,8.01,9.93,10.26,0.88,64794400,103513,0,0.0,0.0,0.0,0.0
432,VILG11,Logística,91.26,8.11,8.03,0.8,1368660000,2466930,15,2392.52,234.72,9.81,8.92
433,VINO11,Lajes Corporativas,6.19,11.79,10.95,0.57,512695000,898584,10,7430.6,1189.69,16.01,4.08
434,VISC11,Shoppings,114.97,5.74,9.52,0.9,3314430000,8164860,25,3720.39,275.14,7.4,5.88
435,VIUR11,Outros,6.85,11.94,11.52,0.77,184582000,426326,8,2834.05,315.82,11.14,3.11
436,VLOL11,Lajes Corporativas,98.0,6.78,0.0,0.88,174913000,0,0,0.0,0.0,0.0,0.0
437,VOTS11,Títulos e Val Mob,81.73,16.89,11.72,0.88,67665300,6411,0,0.0,0.0,0.0,0.0
438,VPSI11,Shoppings,11.72,18.8,1.68,0.37,94602600,777,16,768.96,146.98,19.11,0.0
439,VRTA11,Títulos e Val Mob,88.01,11.13,10.19,0.96,1372290000,1917860,0,0.0,0.0,0.0,0.0
440,VRTM11,Títulos e Val Mob,10.72,3.41,5.79,1.13,127524000,14366,1,10214.8,0.0,0.0,0.0
441,VSEC11,Títulos e Val Mob,0.21,700.84,0.0,0.07,13174,0,0,0.0,0.0,0.0,0.0
442,VSHO11,Shoppings,73.45,10.62,10.47,0.71,154157000,74568,3,2023.03,420.48,20.78,7.84
443,VSLH11,Outros,3.28,12.13,13.63,0.31,97954200,209093,0,0.0,0.0,0.0,0.0
444,VTLT11,Logística,93.2,11.8,10.98,0.83,197118000,100926,1,765.54,102.41,13.38,0.0
445,VTPL11,Híbrido,72.1,-0.63,0.0,1.0,99948000,188,2,1174.16,0.0,0.0,0.0
446,VVCR11,Títulos e Val Mob,9.99,4.76,11.69,0.91,75008200,289619,0,0.0,0.0,0.0,0.0
447,VVMR11,Híbrido,89.57,7.04,6.34,0.77,248306000,505177,5,7916.57,702.85,8.88,2.83
448,VVPR11,Híbrido,101.5,8.99,0.0,1.04,234036000,0,6,5334.39,526.7,9.87,0.0
449,VVRI11,Híbrido,109.9,7.07,12.36,1.08,88214900,2922,2,5619.77,462.57,8.23,0.0
450,VXXV11,Outros,673.0,-1.1,35.5,0.84,180866000,1090480,0,0.0,0.0,0.0,0.0
451,WHGR11,Híbrido,9.77,9.47,11.59,1.01,294344000,559396,0,0.0,0.0,0.0,0.0
452,WPLZ11,Shoppings,61.5,8.31,7.69,0.69,65469800,4360,1,1746.42,158.61,9.08,15.85
453,WSEC11,Títulos e Val Mob,87.95,13.53,13.3,0.87,21605000,15167,0,0.0,0.0,0.0,0.0
454,WTSP11,Híbrido,42.0,8.87,9.28,0.52,41687700,1200,1,3399.92,293.35,8.63,4.35
455,XPCA11,Títulos e Val Mob,7.96,15.7,15.21,0.84,362364000,1456890,0,0.0,0.0,0.0,0.0
456,XPCI11,Títulos e Val Mob,87.87,11.75,12.51,0.98,764605000,2166510,0,0.0,0.0,0.0,0.0
457,XPCM11,Lajes Corporativas,8.31,-3.58,4.36,0.29,20065100,26231,1,980.87,9.62,0.98,81.0
458,XPHT11,Hotel,123.0,3.44,0.0,1.95,1133880000,0,12,2188.25,88.01,4.02,0.0
459,XPIN11,Outros,76.0,9.37,9.45,0.74,543432000,441066,97,1977.69,202.14,10.22,12.21
460,XPLG11,Logística,103.0,8.5,7.96,0.92,3050160000,5523370,19,2332.63,219.61,9.41,4.11
461,XPML11,Shoppings,113.69,5.01,8.85,1.03,6289350000,17012500,15,6202.65,448.85,7.24,0.23
462,XPPR11,Outros,17.5,4.87,5.67,0.27,128033000,220353,5,1730.31,356.09,20.58,43.71
463,XPSF11,Títulos e Val Mob,7.63,10.98,11.06,0.92,330395000,587306,0,0.0,0.0,0.0,0.0
464,XTED11,Lajes Corporativas,8.82,8.22,0.0,0.63,87318000,0,4,11.1,0.41,3.66,0.04
465,YCHY11,Híbrido,1000.0,1.17,0.0,9.89,3708170000,0,12,14069.2,124.53,0.89,3.74
466,YUFI11,Residencial,89.84,3.84,3.59,0.85,44259700,4,40,2194.43,240.6,10.96,0.0
467,ZAGH11,Híbrido,11.95,41.23,1.24,0.12,5551920,500,0,0.0,0.0,0.0,0.0
468,ZAVC11,Títulos e Val Mob,10.01,0.16,3.63,1.01,31004500,116378,0,0.0,0.0,0.0,0.0
469,ZAVI11,Híbrido,101.03,13.36,14.38,0.76,118541000,409789,11,1501.22,185.28,12.34,0.63
470,ZIFI11,Híbrido,687.21,-1.82,0.0,0.35,32632200,2833,0,0.0,0.0,0.0,0.0
