,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
54,BREV11,Híbrido,105.0,6.59,1.64,0.0,101556000,0,13,0.0,1437.55,0.0,0.0
55,BRIM11,Residencial,1081.92,13.0,17.57,1.13,134306000,1685,0,0.0,0.0,0.0,0.0
56,BRIP11,Híbrido,970.0,-2.03,21.51,1.04,209011000,1707,1,0.0,0.0,0.0,0.0
57,BRLA11,Outros,159.0,7.76,8.14,1.0,564211000,36846,8,1669.48,134.99,8.09,0.0
58,BROF11,Híbrido,51.5,13.97,12.25,0.48,597957000,592566,2,6466.25,1055.77,16.33,4.15
59,BTAL11,Outros,76.63,10.25,10.41,0.71,458457000,684618,9,1371.67,172.25,12.56,0.0
60,BTCI11,Títulos e Val Mob,9.9,11.31,11.74,0.97,985260000,2250520,0,0.0,0.0,0.0,0.0
61,BTCR11,Títulos e Val Mob,88.0,12.48,0.0,0.92,423289000,0,0,0.0,0.0,0.0,0.0
62,BTHI11,Hotel,38.08,11.12,8.72,0.6,351041000,30866,12,677.47,88.01,12.99,0.0
63,BTLG11,Híbrido,102.0,4.29,8.57,1.02,4411410000,10610500,21,3323.97,213.45,6.42,2.43
64,BTML11,Híbrido,111.28,7.18,5.17,0.96,126321000,0,2,22340.2,3199.8,14.32,9.7
65,BTRA11,Outros,53.29,45.35,9.06,0.48,179297000,441955,6,1.99,0.26,12.81,30.27
66,BTSG11,Logística,159.08,10.21,6.62,1.1,123289000,150,1,6537.44,726.41,11.11,0.0
67,BTSI11,Híbrido,105.5,6.72,7.55,0.97,337619000,0,3,1112.35,122.8,11.04,0.0
68,BTWR11,Lajes Corporativas,125.0,5.41,5.55,1.11,101159000,17,1,5070.09,406.78,8.02,4.0
69,BTYU11,Híbrido,10.13,0.0,0.85,1.0,202600000,918680,0,0.0,0.0,0.0,0.0
70,BVAR11,Outros,1390.0,6.29,4.71,1.55,869501000,642,49,7885.39,551.35,6.99,27.5
71,CACR11,,103.2,7.42,14.91,1.03,394613000,1563660,0,0.0,0.0,0.0,0.0
72,CARE11,Híbrido,1.69,-8.8,0.0,0.21,60451200,11289,1,0.0,0.0,0.0,0.0
73,CBOP11,Lajes Corporativas,27.7,6.8,5.3,0.38,39195500,8002,1,2392.19,342.94,14.34,53.4
74,CCME11,Outros,12.4,5.25,8.81,1.16,840683000,39532,2,7999.93,401.89,5.02,6.15
75,CCRF11,Títulos e Val Mob,92.5,7.16,4.02,0.95,145401000,0,0,0.0,0.0,0.0,0.0
76,CEOC11,Lajes Corporativas,43.61,13.75,12.92,0.6,79182500,27622,1,4967.17,812.73,16.36,0.0
77,CFHI11,Outros,650.0,26.39,20.41,1.02,61490000,77,10,4747.82,0.0,0.0,0.0
78,CFII11,Híbrido,1000.0,-1.38,10.8,0.96,100634000,0,4,5611.87,107.75,1.92,0.0
79,CJCT11,Lajes Corporativas,64.0,3.05,2.56,0.89,200960000,11649,1,10182.0,630.9,6.2,49.67
80,CLIN11,Títulos e Val Mob,96.19,5.08,9.04,0.97,418115000,1414320,0,0.0,0.0,0.0,0.0
81,CNES11,Lajes Corporativas,1.48,6.13,6.01,0.19,50519500,128417,1,931.49,225.79,24.24,54.7
82,COPP11,Híbrido,103.0,4.12,0.72,0.91,223108000,0,3,4.82,0.19,3.89,31.0
83,CORM11,Híbrido,81.0,3.25,0.0,0.89,87581800,0,3,7546.25,751.73,9.96,0.0
84,CPFF11,Títulos e Val Mob,72.69,2.89,11.26,0.9,185583000,229518,0,0.0,0.0,0.0,0.0
85,CPOF11,Híbrido,108.0,3.93,4.05,0.96,233938000,603836,3,5.05,0.19,3.71,31.0
86,CPSH11,Shoppings,10.99,3.77,10.32,0.95,701999000,1668080,5,925.12,46.77,5.06,6.86
87,CPTR11,Títulos e Val Mob,8.13,15.78,14.73,0.83,336420000,1349670,0,0.0,0.0,0.0,0.0
88,CPTS11,Títulos e Val Mob,8.31,6.55,10.96,0.93,2641150000,8843830,0,0.0,0.0,0.0,0.0
89,CRAA11,Títulos e Val Mob,106.4,7.77,13.63,1.05,52650600,341679,0,0.0,0.0,0.0,0.0
90,CRFF11,Títulos e Val Mob,78.19,9.25,9.86,0.9,53954200,37517,0,0.0,0.0,0.0,0.0
91,CTXT11,Lajes Corporativas,8.54,-18.65,0.0,0.3,32438300,2492,1,688.65,10.31,1.5,98.86
92,CVBI11,Títulos e Val Mob,91.51,12.28,12.08,0.96,1007550000,3129870,0,0.0,0.0,0.0,0.0
93,CXAG11,Outros,75.58,11.77,10.57,0.65,158009000,135793,32,2738.94,357.61,13.06,0.0
94,CXCE11,Lajes Corporativas,40.4,12.86,11.76,0.63,69203200,27252,1,3276.31,462.11,14.1,0.0
95,CXCI11,Títulos e Val Mob,80.87,8.82,12.13,0.86,166408000,127431,0,0.0,0.0,0.0,0.0
96,CXCO11,Lajes Corporativas,74.34,12.41,11.07,0.73,291747000,143439,10,3149.08,407.48,12.94,0.0
97,CXRI11,Títulos e Val Mob,78.99,9.03,9.12,0.89,124469000,11150,0,0.0,0.0,0.0,0.0
98,CXTL11,Logística,225.94,10.48,9.72,0.57,12109700,3925,1,1740.91,333.84,19.18,0.0
99,DAMA11,Títulos e Val Mob,10.06,-0.02,1.47,1.03,32392600,168370,0,0.0,0.0,0.0,0.0
100,DAMT11,Híbrido,9.0,6.25,4.16,0.68,112597000,359,1,2149.64,93.21,4.34,10.58
101,DCRA11,Títulos e Val Mob,8.21,17.26,16.15,0.86,55326400,116793,0,0.0,0.0,0.0,0.0
102,DEVA11,Títulos e Val Mob,39.16,16.76,16.28,0.4,549999000,1295790,0,0.0,0.0,0.0,0.0
103,DMAC11,Residencial,13.0,-758.5,0.0,2.61,2029400,0,0,0.0,0.0,0.0,0.0
104,DOMC11,Híbrido,439.0,0.06,0.0,4.31,1072830000,0,2,25827.2,190.28,0.74,19.11
105,DOVL11,Lajes Corporativas,666.3,13.47,11.53,0.82,44246300,620,2,2475.03,636.27,25.71,0.0
106,DPRO11,Híbrido,7.0,8.96,10.3,0.76,35022500,882,1,2129.28,240.86,11.31,0.0
107,DRIT11,Lajes Corporativas,84.7,6.17,14.6,0.65,39239600,600,4,6401.22,678.49,10.6,9.44
108,DVFF11,Híbrido,7.42,2.78,12.08,0.82,81690500,41263,0,0.0,0.0,0.0,0.0
109,EDFO11,Lajes Corporativas,190.0,11.07,10.71,0.85,44840000,5019,1,126188.0,15278.5,12.11,0.0
110,EDGA11,Lajes Corporativas,19.1,5.98,4.85,0.3,72810200,21479,1,2893.34,291.83,10.09,28.13
111,EGAF11,Títulos e Val Mob,91.74,10.68,16.11,0.93,287322000,601174,0,0.0,0.0,0.0,0.0
112,ELDO11B,Shoppings,1104.31,9.7,10.11,0.68,869375000,0,1,11452.8,1329.95,11.61,0.64
113,EQIN11,Títulos e Val Mob,93.5,1.33,0.0,9.38,1428810000,0,0,0.0,0.0,0.0,0.0
114,EQIR11,Títulos e Val Mob,9.03,7.1,12.42,0.92,98511100,278423,0,0.0,0.0,0.0,0.0
115,ERCR11,Híbrido,76000.0,-0.08,0.0,2.41,180576000,0,0,0.0,0.0,0.0,0.0
116,ERPA11,Lajes Corporativas,134.49,6.48,7.0,0.95,67369000,9440,1,19914.4,1470.38,7.38,0.0
117,EURO11,Logística,244.4,9.42,8.78,0.72,93834000,44036,7,794.15,82.42,10.38,0.0
118,EVBI11,Híbrido,9.9,75.49,8.81,0.1,23893800,24593,6,663.03,652.01,98.34,1.28
119,EXES11,Títulos e Val Mob,9.84,10.68,9.22,1.07,57768000,3797,0,0.0,0.0,0.0,0.0
120,FAED11,Outros,152.01,11.31,12.07,0.69,105248000,52016,4,2279.86,275.89,12.1,0.0
121,FAMB11,Lajes Corporativas,570.0,-15.28,0.0,0.26,69846700,19160,1,1154.05,49.06,4.25,89.31
122,FATN11,Híbrido,92.2,5.96,11.24,0.89,283968000,920388,44,24720.8,1848.87,7.48,0.0
123,FCFL11,Outros,115.17,8.66,8.32,0.94,400102000,238058,1,12795.1,1190.28,9.3,0.0
124,FEXC11,Títulos e Val Mob,83.5,1.34,0.0,8.17,8310020000,0,0,0.0,0.0,0.0,0.0
125,FFCI11,Lajes Corporativas,182.03,2.38,0.0,0.89,671817000,0,9,16443.3,1097.8,6.68,3.61
126,FGAA11,Híbrido,8.44,14.19,15.92,0.88,380487000,1331290,0,0.0,0.0,0.0,0.0
127,FIGS11,Shoppings,55.17,9.8,9.12,0.68,157234000,118834,2,2429.08,248.56,10.23,6.49
128,FIIB11,Híbrido,513.02,8.35,8.01,1.09,351419000,271952,11,633.17,58.55,9.25,0.42
129,FIIP11B,Híbrido,172.33,10.3,9.52,0.84,159778000,80005,7,2267.73,258.68,11.41,0.0
130,FISC11,Lajes Corporativas,68.8,6.08,6.8,0.57,116960000,1451,4,9267.7,770.17,8.31,0.0
131,FISD11,Títulos e Val Mob,203.32,-21.06,0.0,2.72,218079000,0,1,0.0,0.0,0.0,0.0
132,FIXX11,Títulos e Val Mob,85.78,5.28,0.0,1.27,321608000,0,0,0.0,0.0,0.0,0.0
133,FLCR11,Títulos e Val Mob,97.25,14.48,13.51,1.02,61618000,130063,0,0.0,0.0,0.0,0.0
134,FLFL11,Híbrido,100.0,0.33,0.96,0.7,345426000,0,1,30800.6,1743.7,5.66,0.0
135,FLMA11,Híbrido,140.92,8.07,8.42,0.65,194564000,76115,2,16809.7,1786.28,10.63,0.0
136,FLRP11,Shoppings,2070.0,8.28,7.62,0.9,135030000,37188,1,2782.72,248.55,8.93,3.06
137,FMOF11,Lajes Corporativas,53.64,1.61,1.77,0.46,27249600,3612,2,1608.51,162.94,10.13,30.48
138,FPAB11,Lajes Corporativas,230.0,6.02,6.51,0.67,172500000,33599,2,4734.34,346.68,7.32,41.15
139,FPNG11,Lajes Corporativas,90.0,5.23,4.92,0.52,209636000,21,8,15711.1,1087.6,6.92,8.55
140,FRBR11,Títulos e Val Mob,103.71,6.8,0.0,1.06,1324330000,0,0,0.0,0.0,0.0,0.0
141,FTCE11,Híbrido,2856.05,-0.48,9.94,1.0,3119440000,481772,79,1613.0,44.22,2.74,3.79
142,FVBI11,Lajes Corporativas,159.71,0.0,0.0,0.0,0,0,1,0.0,636.95,0.0,0.0
